,Date,Open,High,Low,Adj Close,Volume
295,2022-09-29,59.200001,62.0,58.900002,61.200001,76969699
536,2023-09-20,101.300003,104.900002,99.300003,100.0,104115507
406,2023-03-10,53.799999,54.5,53.299999,53.849998,39226931
463,2023-06-06,71.550003,73.150002,71.349998,72.349998,64762959
308,2022-10-19,63.400002,63.700001,61.5,62.049999,52638798
521,2023-08-29,92.75,95.0,92.599998,94.699997,86708316
26,2021-08-31,134.0,135.199997,131.350006,134.550003,24640924
541,2023-09-27,99.900002,101.199997,98.5,100.099998,34894254
148,2022-02-24,78.650002,81.5,78.099998,78.5,22035319
502,2023-08-01,84.599998,85.699997,84.199997,84.75,34950470
307,2022-10-18,63.650002,64.400002,62.75,63.0,49431277
203,2022-05-19,56.5,56.849998,54.799999,55.349998,31970099
105,2021-12-24,134.5,134.5,129.600006,131.449997,17625584
303,2022-10-12,65.650002,66.449997,63.049999,63.75,67799710
114,2022-01-06,133.0,133.149994,129.600006,130.0,23780419
91,2021-12-06,146.600006,146.850006,135.300003,138.550003,33244501
575,2023-11-17,122.0,125.0,121.5,122.199997,43882213
431,2023-04-20,54.150002,54.400002,53.650002,54.200001,23096046
331,2022-11-23,63.5,64.300003,61.400002,61.75,69815602
464,2023-06-07,72.5,75.0,72.400002,74.5,67871844
249,2022-07-22,53.75,54.0,52.900002,53.650002,27302087
121,2022-01-17,133.600006,134.5,133.0,134.0,7515979
49,2021-10-04,139.100006,140.0,138.0,139.100006,11995299
236,2022-07-05,55.400002,55.900002,54.349998,55.450001,51276627
563,2023-10-31,107.849998,108.150002,104.25,105.099998,49382539
22,2021-08-25,126.0,128.5,123.099998,124.25,51078811
179,2022-04-12,84.300003,84.300003,81.0,81.5,12913673
201,2022-05-17,56.099998,56.700001,55.150002,56.150002,21460388
157,2022-03-10,82.550003,83.949997,81.699997,82.199997,13476206
147,2022-02-23,82.0,85.150002,81.199997,84.150002,19847603
145,2022-02-21,84.199997,84.800003,80.650002,81.550003,18853339
284,2022-09-14,64.050003,65.150002,62.75,63.299999,119824317
356,2022-12-28,58.5,60.799999,57.849998,60.150002,70502428
403,2023-03-06,54.0,54.950001,53.700001,53.950001,33492583
178,2022-04-11,83.150002,85.849998,83.0,84.449997,17609808
